strategy,category,split,CAGR,Sharpe,Sortino,Max Drawdown,Profit Factor,Win Rate,Average Trade,Number of Trades,Exposure,Total Return
Persistent low volatility 150/25,Volatility Regimes,test_2024_2025,0.9040120763501203,1.4018471298946031,2.8840098347759695,-0.2682561469794599,1.3093518353929716,0.5362517099863201,0.06786855281938768,11.5,1.0,2.6284592009722223
TSMOM 60 + persistent low-vol gate,Volatility Regimes,train_2018_2022,-0.05898822648238744,0.27334947794823883,0.26483050399506036,-0.8641104692559612,1.05627409108095,0.32146768893756844,0.0026540817870614438,176.91666666666666,0.6122672508214677,-0.2621070534329203
TSMOM 60 + persistent low-vol gate,Volatility Regimes,validation_2023,0.9883553829402167,1.7778798380449266,3.0574300453447667,-0.17273872432193937,1.3490120012432054,0.5013698630136987,0.010619081203569317,36.75,0.936986301369863,0.9874202078039889
TSMOM 60 + persistent low-vol gate,Volatility Regimes,test_2024_2025,0.5924848266596197,1.259314943217559,1.7893318743047133,-0.32199020507714804,1.25104965819179,0.43502051983584133,0.008028931489023049,70.08333333333333,0.7961696306429549,1.5376237604575018
XSMOM 180 top 10%,Cross-Sectional Momentum,train_2018_2022,-0.4769786442792334,0.14714386210014319,0.2438958458157522,-0.9820378189627147,1.0267019186848219,0.47371303395399783,0.003913943696376467,130.0,1.0,-0.9608447705328366
XSMOM 180 top 10%,Cross-Sectional Momentum,validation_2023,1.0044350357685863,1.3388893298985205,2.056360176242912,-0.48070403121426775,1.2260813229413894,0.4821917808219178,0.03359698936956188,14.0,1.0,1.003481252877025
XSMOM 180 top 10%,Cross-Sectional Momentum,test_2024_2025,0.6338068238811634,0.9817722252258168,1.6648477023222321,-0.5616671423279618,1.1604024673008877,0.5034199726402189,0.02243910510804835,40.0,1.0,1.6711191881397944
TSMOM 90 gated by BTC 200MA,Market Regime Detection,train_2018_2022,-0.09338160281893548,0.14388460894215338,0.11663742630663457,-0.878432561783194,1.0333511764016539,0.22562979189485213,0.0036313316400317023,59.11031746031746,0.4194961664841183,-0.3874355640393039
TSMOM 90 gated by BTC 200MA,Market Regime Detection,validation_2023,0.32729294398305475,0.8703948840622799,1.1442129597063901,-0.3895359301766229,1.1461592859770806,0.4273972602739726,0.0060984651073774316,30.916269841269845,0.8054794520547945,0.3270357398182109
TSMOM 90 gated by BTC 200MA,Market Regime Detection,test_2024_2025,0.010330394495764006,0.2879827043998433,0.34626944140660715,-0.5842150593016878,1.0491851822154614,0.3761969904240766,0.0028137935576061928,54.62023809523809,0.7482900136798906,0.020781867315615488
Alt relative strength top 10%,Relative Strength,train_2018_2022,-0.43094994692404875,0.24620710007396338,0.42280278605502036,-0.9832330763019509,1.0433326269808343,0.4715224534501643,0.0054917267310449535,160.0,1.0,-0.9403074775681286
Alt relative strength top 10%,Relative Strength,validation_2023,0.5354374606392291,0.9416383059387693,1.535102974866425,-0.6327485911139352,1.1447577068339876,0.5013698630136987,0.011896133799877574,30.0,1.0,0.5349868634408586
Alt relative strength top 10%,Relative Strength,test_2024_2025,0.16287861316074026,0.5912599538874056,0.9976332388270134,-0.6301591896824649,1.0916096753724087,0.49247606019151846,0.00671661854170386,74.0,1.0,0.35256603800828
